activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration,note
Belonging Architecture ,Emotional Avoidance,1.74327E+12,Sat Mar 29 17:42:00 GMT+01:00 2025,1.74328E+12,Sat Mar 29 20:19:33 GMT+01:00 2025,9449682,2 h 37 min,
Health,Emotional Work,1.74327E+12,Sat Mar 29 17:50:00 GMT+01:00 2025,1.74327E+12,Sat Mar 29 19:27:57 GMT+01:00 2025,5873534,1 h 37 min,
Health,Screen Relaxation,1.74327E+12,Sat Mar 29 17:57:00 GMT+01:00 2025,1.74327E+12,Sat Mar 29 18:45:00 GMT+01:00 2025,2876376,47 min,
Shop/Book/Plan,Relax & Wonder,1.74329E+12,Sat Mar 29 23:39:00 GMT+01:00 2025,1.74329E+12,Sun Mar 30 00:10:00 GMT+01:00 2025,1857147,30 min,
Daily Planning,Emotional Avoidance,1.74329E+12,Sun Mar 30 00:06:00 GMT+01:00 2025,1.74329E+12,Sun Mar 30 00:58:44 GMT+01:00 2025,3156858,52 min,
Public Speaking,Responsibilities ,1.74329E+12,Sun Mar 30 00:14:00 GMT+01:00 2025,1.74329E+12,Sun Mar 30 00:26:11 GMT+01:00 2025,723728,12 min,
Sleep,Sleep,1.7433E+12,Sun Mar 30 03:23:00 GMT+02:00 2025,1.74332E+12,Sun Mar 30 09:31:00 GMT+02:00 2025,22080000,6 h 8 min,
Friends & Family,Active,1.74332E+12,Sun Mar 30 09:31:00 GMT+02:00 2025,1.74332E+12,Sun Mar 30 09:32:08 GMT+01:00 2025,60000,1 min,
Joy Architecture,Emotional Work,1.74332E+12,Sun Mar 30 10:27:00 GMT+02:00 2025,1.74333E+12,Sun Mar 30 13:35:13 GMT+01:00 2025,11285185,3 h 8 min,
Needed Tech Config,Relax & Wonder,1.74332E+12,Sun Mar 30 10:37:00 GMT+02:00 2025,1.74333E+12,Sun Mar 30 11:35:07 GMT+01:00 2025,3482376,58 min,
Friends & Family,Emotional Avoidance,1.74333E+12,Sun Mar 30 10:58:00 GMT+02:00 2025,1.74333E+12,Sun Mar 30 12:13:30 GMT+01:00 2025,4486533,1 h 14 min,
Tech News,Connect,1.74333E+12,Sun Mar 30 12:40:00 GMT+02:00 2025,1.74333E+12,Sun Mar 30 13:24:04 GMT+01:00 2025,2600583,43 min,
Work Training,Responsibilities ,1.74333E+12,Sun Mar 30 12:51:00 GMT+02:00 2025,1.74333E+12,Sun Mar 30 12:52:44 GMT+01:00 2025,60000,1 min,
Positive Reframing,Responsibilities ,1.74333E+12,Sun Mar 30 13:03:00 GMT+02:00 2025,1.74333E+12,Sun Mar 30 13:38:15 GMT+01:00 2025,2071188,34 min,
Tech News,Emotional Avoidance,1.74333E+12,Sun Mar 30 13:27:00 GMT+02:00 2025,1.74333E+12,Sun Mar 30 13:28:44 GMT+01:00 2025,60000,1 min,
Distracting Media,Active,1.74334E+12,Sun Mar 30 14:09:00 GMT+02:00 2025,1.74335E+12,Sun Mar 30 17:34:06 GMT+01:00 2025,12256616,3 h 24 min,
Health,Emotional Avoidance,1.74334E+12,Sun Mar 30 14:27:00 GMT+02:00 2025,1.74334E+12,Sun Mar 30 14:28:50 GMT+01:00 2025,60000,1 min,
Nature,Emotional Work,1.74334E+12,Sun Mar 30 14:32:00 GMT+02:00 2025,1.74334E+12,Sun Mar 30 14:33:16 GMT+01:00 2025,60000,1 min,
Belonging Architecture ,Emotional Avoidance,1.74334E+12,Sun Mar 30 15:28:00 GMT+02:00 2025,1.74334E+12,Sun Mar 30 15:45:16 GMT+01:00 2025,1019424,16 min,
Guilt free Media,Responsibilities ,1.74334E+12,Sun Mar 30 15:38:00 GMT+02:00 2025,1.74335E+12,Sun Mar 30 17:54:23 GMT+01:00 2025,8166704,2 h 16 min,
Finance & Paperwork,Relax & Wonder,1.74334E+12,Sun Mar 30 16:29:00 GMT+02:00 2025,1.74335E+12,Sun Mar 30 17:17:36 GMT+01:00 2025,2900052,48 min,
Dating ,Emotional Avoidance,1.74335E+12,Sun Mar 30 16:58:00 GMT+02:00 2025,1.74335E+12,Sun Mar 30 16:59:16 GMT+01:00 2025,60000,1 min,
Snooze,Active,1.74335E+12,Sun Mar 30 17:15:00 GMT+02:00 2025,1.74336E+12,Sun Mar 30 19:29:03 GMT+01:00 2025,8027188,2 h 13 min,
Dating ,Screen Relaxation,1.74335E+12,Sun Mar 30 17:20:00 GMT+02:00 2025,1.74335E+12,Sun Mar 30 18:57:59 GMT+01:00 2025,5863000,1 h 37 min,
Wellness ,Relax & Wonder,1.74335E+12,Sun Mar 30 18:37:00 GMT+02:00 2025,1.74336E+12,Sun Mar 30 20:01:43 GMT+01:00 2025,5066673,1 h 24 min,
Arts & Culture,Connect,1.74336E+12,Sun Mar 30 20:36:00 GMT+02:00 2025,1.74337E+12,Sun Mar 30 22:13:19 GMT+01:00 2025,5799868,1 h 36 min,
Sailing,Work,1.74336E+12,Sun Mar 30 20:55:00 GMT+02:00 2025,1.74337E+12,Mon Mar 31 00:28:01 GMT+01:00 2025,12741591,3 h 32 min,
Wonder,Emotional Avoidance,1.74336E+12,Sun Mar 30 21:37:00 GMT+02:00 2025,1.74338E+12,Mon Mar 31 00:55:35 GMT+01:00 2025,11876198,3 h 17 min,
Positive Reframing,Active,1.74336E+12,Sun Mar 30 22:02:00 GMT+02:00 2025,1.74337E+12,Sun Mar 30 22:03:58 GMT+01:00 2025,60000,1 min,
Sailing,Relax & Wonder,1.74337E+12,Sun Mar 30 22:22:00 GMT+02:00 2025,1.74338E+12,Mon Mar 31 01:02:13 GMT+01:00 2025,9555395,2 h 39 min,
AWS AI,Active,1.74337E+12,Sun Mar 30 22:41:00 GMT+02:00 2025,1.74337E+12,Sun Mar 30 23:55:11 GMT+01:00 2025,4424589,1 h 13 min,
Sleep,Sleep,1.74339E+12,Mon Mar 31 04:13:00 GMT+02:00 2025,1.74341E+12,Mon Mar 31 10:13:00 GMT+02:00 2025,21600000,6 h 0 min,
AWS AI,Connect,1.74341E+12,Mon Mar 31 10:13:00 GMT+02:00 2025,1.74341E+12,Mon Mar 31 11:35:10 GMT+01:00 2025,4903991,1 h 21 min,
Needed Tech Config,Responsibilities ,1.74341E+12,Mon Mar 31 10:32:00 GMT+02:00 2025,1.74341E+12,Mon Mar 31 10:33:26 GMT+01:00 2025,60000,1 min,
Health,Active,1.74341E+12,Mon Mar 31 10:47:00 GMT+02:00 2025,1.74341E+12,Mon Mar 31 11:23:02 GMT+01:00 2025,2135446,35 min,
Social,Relax & Wonder,1.74341E+12,Mon Mar 31 11:49:00 GMT+02:00 2025,1.74341E+12,Mon Mar 31 11:50:26 GMT+01:00 2025,60000,1 min,
Finance & Paperwork,Active,1.74342E+12,Mon Mar 31 12:41:00 GMT+02:00 2025,1.74342E+12,Mon Mar 31 14:25:51 GMT+01:00 2025,6264370,1 h 44 min,
Needed Tech Config,Active,1.74342E+12,Mon Mar 31 12:56:00 GMT+02:00 2025,1.74343E+12,Mon Mar 31 14:57:36 GMT+01:00 2025,7269352,2 h 1 min,
Screen-free Meals/Breaks,Active,1.74342E+12,Mon Mar 31 12:59:00 GMT+02:00 2025,1.74342E+12,Mon Mar 31 13:00:52 GMT+01:00 2025,60000,1 min,
Daily Planning,Emotional Work,1.74342E+12,Mon Mar 31 14:11:00 GMT+02:00 2025,1.74343E+12,Mon Mar 31 14:57:41 GMT+01:00 2025,2748930,45 min,
Friends & Family,Emotional Work,1.74344E+12,Mon Mar 31 17:50:00 GMT+02:00 2025,1.74344E+12,Mon Mar 31 19:55:32 GMT+01:00 2025,7479349,2 h 4 min,
Play music,Responsibilities ,1.74344E+12,Mon Mar 31 17:59:00 GMT+02:00 2025,1.74344E+12,Mon Mar 31 18:34:20 GMT+01:00 2025,2068068,34 min,
Dating ,Emotional Avoidance,1.74344E+12,Mon Mar 31 20:08:00 GMT+02:00 2025,1.74345E+12,Mon Mar 31 21:46:27 GMT+01:00 2025,5854990,1 h 37 min,
Sailing,Active,1.74345E+12,Mon Mar 31 21:42:00 GMT+02:00 2025,1.74345E+12,Mon Mar 31 22:54:12 GMT+01:00 2025,4292246,1 h 11 min,
Play music,Connect,1.74345E+12,Mon Mar 31 22:03:00 GMT+02:00 2025,1.74346E+12,Mon Mar 31 23:14:33 GMT+01:00 2025,4252939,1 h 10 min,
Snooze,Emotional Avoidance,1.74345E+12,Mon Mar 31 22:09:00 GMT+02:00 2025,1.74345E+12,Mon Mar 31 22:38:18 GMT+01:00 2025,1718068,28 min,
Hygiene & Styling,Connect,1.74345E+12,Mon Mar 31 22:22:00 GMT+02:00 2025,1.74345E+12,Mon Mar 31 22:23:58 GMT+01:00 2025,60000,1 min,
Wellness ,Emotional Avoidance,1.74345E+12,Mon Mar 31 22:34:00 GMT+02:00 2025,1.74345E+12,Mon Mar 31 22:35:58 GMT+01:00 2025,60000,1 min,
Joy Architecture,Responsibilities ,1.74345E+12,Mon Mar 31 22:44:00 GMT+02:00 2025,1.74346E+12,Tue Apr 01 00:21:11 GMT+01:00 2025,5773477,1 h 36 min,
Social Dating Chances,Active,1.74345E+12,Mon Mar 31 22:54:00 GMT+02:00 2025,1.74346E+12,Mon Mar 31 23:43:38 GMT+01:00 2025,2920519,48 min,
Wonder,Active,1.74345E+12,Mon Mar 31 23:01:00 GMT+02:00 2025,1.74346E+12,Mon Mar 31 23:39:30 GMT+01:00 2025,2267255,37 min,
Positive Reframing,Work,1.74346E+12,Mon Mar 31 23:28:00 GMT+02:00 2025,1.74346E+12,Mon Mar 31 23:46:59 GMT+01:00 2025,1087116,18 min,
Arts & Culture,Connect,1.74346E+12,Mon Mar 31 23:52:00 GMT+02:00 2025,1.74346E+12,Tue Apr 01 00:19:10 GMT+01:00 2025,1577988,26 min,
Sleep,Sleep,1.74346E+12,Tue Apr 01 01:49:00 GMT+02:00 2025,1.74349E+12,Tue Apr 01 09:55:00 GMT+02:00 2025,29160000,8 h 6 min,
Play music,Emotional Avoidance,1.74349E+12,Tue Apr 01 09:55:00 GMT+02:00 2025,1.7435E+12,Tue Apr 01 11:55:13 GMT+01:00 2025,7169405,1 h 59 min,
Public Speaking,Emotional Avoidance,1.74349E+12,Tue Apr 01 09:59:00 GMT+02:00 2025,1.7435E+12,Tue Apr 01 10:23:13 GMT+01:00 2025,1453698,24 min,
Distracting Media,Screen Relaxation,1.7435E+12,Tue Apr 01 10:16:00 GMT+02:00 2025,1.7435E+12,Tue Apr 01 10:17:00 GMT+01:00 2025,60000,1 min,
Work Training,Screen Relaxation,1.7435E+12,Tue Apr 01 10:30:00 GMT+02:00 2025,1.7435E+12,Tue Apr 01 12:08:35 GMT+01:00 2025,5915317,1 h 38 min,
Coding,Emotional Work,1.7435E+12,Tue Apr 01 11:55:00 GMT+02:00 2025,1.7435E+12,Tue Apr 01 12:28:13 GMT+01:00 2025,1992814,33 min,
Snooze,Work,1.74351E+12,Tue Apr 01 13:03:00 GMT+02:00 2025,1.74351E+12,Tue Apr 01 13:52:30 GMT+01:00 2025,2969885,49 min,
Sports,Relax & Wonder,1.74351E+12,Tue Apr 01 13:43:00 GMT+02:00 2025,1.74352E+12,Tue Apr 01 16:21:08 GMT+01:00 2025,9487961,2 h 38 min,
Sleep,Sleep,1.74356E+12,Wed Apr 02 05:11:00 GMT+02:00 2025,1.74359E+12,Wed Apr 02 11:30:00 GMT+02:00 2025,22740000,6 h 19 min,
Hygiene & Styling,Screen Relaxation,1.74359E+12,Wed Apr 02 11:30:00 GMT+02:00 2025,1.74359E+12,Wed Apr 02 12:16:08 GMT+01:00 2025,2755027,45 min,
Guilt free Media,Relax & Wonder,1.74359E+12,Wed Apr 02 11:40:00 GMT+02:00 2025,1.74359E+12,Wed Apr 02 12:47:29 GMT+01:00 2025,4035930,1 h 7 min,
Guilt free Media,Emotional Work,1.74359E+12,Wed Apr 02 11:51:00 GMT+02:00 2025,1.74359E+12,Wed Apr 02 11:52:13 GMT+01:00 2025,60000,1 min,
Tech News,Emotional Work,1.74359E+12,Wed Apr 02 12:11:00 GMT+02:00 2025,1.74359E+12,Wed Apr 02 12:43:24 GMT+01:00 2025,1931641,32 min,
Tech Config,Emotional Work,1.74359E+12,Wed Apr 02 13:05:00 GMT+02:00 2025,1.7436E+12,Wed Apr 02 14:34:33 GMT+01:00 2025,5360659,1 h 29 min,
Tech Config,Connect,1.74359E+12,Wed Apr 02 13:50:00 GMT+02:00 2025,1.74359E+12,Wed Apr 02 13:51:13 GMT+01:00 2025,60000,1 min,
Nature,Connect,1.7436E+12,Wed Apr 02 16:34:00 GMT+02:00 2025,1.74361E+12,Wed Apr 02 17:35:23 GMT+01:00 2025,3670618,1 h 1 min,
Play music,Responsibilities ,1.74361E+12,Wed Apr 02 17:35:00 GMT+02:00 2025,1.74361E+12,Wed Apr 02 18:29:30 GMT+01:00 2025,3256859,54 min,
w_Start-up,Responsibilities ,1.74361E+12,Wed Apr 02 17:50:00 GMT+02:00 2025,1.74361E+12,Wed Apr 02 18:40:24 GMT+01:00 2025,3010791,50 min,
Life Architecture,Emotional Work,1.74361E+12,Wed Apr 02 18:42:00 GMT+02:00 2025,1.74362E+12,Wed Apr 02 20:41:02 GMT+01:00 2025,7129074,1 h 58 min,
Belonging Architecture ,Work,1.74361E+12,Wed Apr 02 18:52:00 GMT+02:00 2025,1.74362E+12,Wed Apr 02 20:02:36 GMT+01:00 2025,4223075,1 h 10 min,
Work-Tech Play,Emotional Avoidance,1.74362E+12,Wed Apr 02 20:41:00 GMT+02:00 2025,1.74363E+12,Wed Apr 02 23:10:22 GMT+01:00 2025,8952406,2 h 29 min,
Social Dating Chances,Connect,1.74362E+12,Wed Apr 02 20:56:00 GMT+02:00 2025,1.74362E+12,Wed Apr 02 20:57:10 GMT+01:00 2025,60000,1 min,
Snooze,Work,1.74362E+12,Wed Apr 02 22:14:00 GMT+02:00 2025,1.74363E+12,Wed Apr 02 23:10:52 GMT+01:00 2025,3402149,56 min,
Guilt free Media,Active,1.74363E+12,Wed Apr 02 22:19:00 GMT+02:00 2025,1.74363E+12,Wed Apr 02 23:12:19 GMT+01:00 2025,3189352,53 min,
Play music,Connect,1.74363E+12,Wed Apr 02 23:41:00 GMT+02:00 2025,1.74363E+12,Wed Apr 02 23:42:10 GMT+01:00 2025,60000,1 min,
Work-Tech Play,Connect,1.74363E+12,Thu Apr 03 00:22:00 GMT+02:00 2025,1.74364E+12,Thu Apr 03 02:15:24 GMT+01:00 2025,6794673,1 h 53 min,
Process Emotions,Responsibilities ,1.74363E+12,Thu Apr 03 00:32:00 GMT+02:00 2025,1.74365E+12,Thu Apr 03 03:59:55 GMT+01:00 2025,12453404,3 h 27 min,
Distracting Media,Emotional Avoidance,1.74364E+12,Thu Apr 03 01:22:00 GMT+02:00 2025,1.74364E+12,Thu Apr 03 02:08:31 GMT+01:00 2025,2769726,46 min,
Sleep,Sleep,1.74364E+12,Thu Apr 03 01:59:00 GMT+02:00 2025,1.74366E+12,Thu Apr 03 09:10:00 GMT+02:00 2025,25860000,7 h 11 min,
Distracting Media,Emotional Avoidance,1.74366E+12,Thu Apr 03 09:10:00 GMT+02:00 2025,1.74367E+12,Thu Apr 03 10:32:38 GMT+01:00 2025,4928494,1 h 22 min,
w_Start-up,Screen Relaxation,1.74366E+12,Thu Apr 03 09:20:00 GMT+02:00 2025,1.74367E+12,Thu Apr 03 10:14:00 GMT+01:00 2025,3189566,53 min,
Social Dating Chances,Relax & Wonder,1.74367E+12,Thu Apr 03 10:09:00 GMT+02:00 2025,1.74367E+12,Thu Apr 03 10:10:51 GMT+01:00 2025,60000,1 min,
Guilt free Media,Relax & Wonder,1.74367E+12,Thu Apr 03 10:36:00 GMT+02:00 2025,1.74367E+12,Thu Apr 03 10:37:51 GMT+01:00 2025,60000,1 min,
Hobbies,Relax & Wonder,1.74367E+12,Thu Apr 03 10:47:00 GMT+02:00 2025,1.74367E+12,Thu Apr 03 10:48:12 GMT+01:00 2025,60000,1 min,
Wonder,Relax & Wonder,1.74367E+12,Thu Apr 03 12:00:00 GMT+02:00 2025,1.74367E+12,Thu Apr 03 12:01:12 GMT+01:00 2025,60000,1 min,
Private Impact,Active,1.74368E+12,Thu Apr 03 12:30:00 GMT+02:00 2025,1.74369E+12,Thu Apr 03 15:14:59 GMT+01:00 2025,9887121,2 h 44 min,
Cooking,Active,1.7437E+12,Thu Apr 03 18:03:00 GMT+02:00 2025,1.7437E+12,Thu Apr 03 18:42:36 GMT+01:00 2025,2364033,39 min,
Cooking,Connect,1.7437E+12,Thu Apr 03 18:56:00 GMT+02:00 2025,1.7437E+12,Thu Apr 03 19:19:51 GMT+01:00 2025,1409553,23 min,
Job Search,Emotional Work,1.74371E+12,Thu Apr 03 20:35:00 GMT+02:00 2025,1.74371E+12,Thu Apr 03 22:23:59 GMT+01:00 2025,6517020,1 h 48 min,
Distracting Media,Responsibilities ,1.74371E+12,Thu Apr 03 22:00:00 GMT+02:00 2025,1.74371E+12,Thu Apr 03 22:01:07 GMT+01:00 2025,60000,1 min,
Belonging Architecture ,Responsibilities ,1.74371E+12,Thu Apr 03 22:03:00 GMT+02:00 2025,1.74371E+12,Thu Apr 03 22:04:07 GMT+01:00 2025,60000,1 min,
Dating ,Relax & Wonder,1.74371E+12,Thu Apr 03 22:39:00 GMT+02:00 2025,1.74372E+12,Thu Apr 03 23:31:09 GMT+01:00 2025,3121555,52 min,
Public Speaking,Connect,1.74371E+12,Thu Apr 03 22:44:00 GMT+02:00 2025,1.74372E+12,Fri Apr 04 00:42:35 GMT+01:00 2025,7094378,1 h 58 min,
Social Dating Chances,Screen Relaxation,1.74372E+12,Thu Apr 03 23:30:00 GMT+02:00 2025,1.74372E+12,Fri Apr 04 00:52:15 GMT+01:00 2025,4914699,1 h 21 min,
Cooking,Work,1.74372E+12,Thu Apr 03 23:43:00 GMT+02:00 2025,1.74372E+12,Fri Apr 04 00:47:48 GMT+01:00 2025,3866965,1 h 4 min,
Snooze,Emotional Work,1.74372E+12,Fri Apr 04 00:24:00 GMT+02:00 2025,1.74372E+12,Fri Apr 04 01:17:04 GMT+01:00 2025,3163097,52 min,
Process Emotions,Connect,1.74372E+12,Fri Apr 04 00:34:00 GMT+02:00 2025,1.74372E+12,Fri Apr 04 01:49:32 GMT+01:00 2025,4495170,1 h 14 min,
Sleep,Sleep,1.74372E+12,Fri Apr 04 00:49:00 GMT+02:00 2025,1.74376E+12,Fri Apr 04 10:33:00 GMT+02:00 2025,35040000,9 h 44 min,
Job Search,Emotional Work,1.74376E+12,Fri Apr 04 10:33:00 GMT+02:00 2025,1.74376E+12,Fri Apr 04 11:34:14 GMT+01:00 2025,3673959,1 h 1 min,
Private Impact,Emotional Work,1.74376E+12,Fri Apr 04 10:41:00 GMT+02:00 2025,1.74376E+12,Fri Apr 04 10:42:00 GMT+01:00 2025,60000,1 min,
Social,Emotional Work,1.74376E+12,Fri Apr 04 10:52:00 GMT+02:00 2025,1.74376E+12,Fri Apr 04 11:43:10 GMT+01:00 2025,3030606,50 min,
Tech Config,Connect,1.74376E+12,Fri Apr 04 12:13:00 GMT+02:00 2025,1.74376E+12,Fri Apr 04 12:14:39 GMT+01:00 2025,60000,1 min,
Home,Relax & Wonder,1.74376E+12,Fri Apr 04 12:38:00 GMT+02:00 2025,1.74377E+12,Fri Apr 04 13:31:35 GMT+01:00 2025,3175357,52 min,
w_Start-up,Responsibilities ,1.74377E+12,Fri Apr 04 14:00:00 GMT+02:00 2025,1.74377E+12,Fri Apr 04 14:14:52 GMT+01:00 2025,852402,14 min,
Work Distractions,Responsibilities ,1.74377E+12,Fri Apr 04 15:17:00 GMT+02:00 2025,1.74379E+12,Fri Apr 04 19:00:01 GMT+01:00 2025,13341300,3 h 42 min,
Social Dating Chances,Relax & Wonder,1.74377E+12,Fri Apr 04 15:21:00 GMT+02:00 2025,1.74378E+12,Fri Apr 04 16:06:15 GMT+01:00 2025,2675075,44 min,
Sports,Emotional Work,1.74377E+12,Fri Apr 04 15:43:00 GMT+02:00 2025,1.74377E+12,Fri Apr 04 15:44:20 GMT+01:00 2025,60000,1 min,
Sports,Work,1.74378E+12,Fri Apr 04 16:36:00 GMT+02:00 2025,1.74378E+12,Fri Apr 04 17:14:26 GMT+01:00 2025,2285169,38 min,
w_Start-up,Emotional Avoidance,1.74378E+12,Fri Apr 04 17:22:00 GMT+02:00 2025,1.74379E+12,Fri Apr 04 18:45:40 GMT+01:00 2025,4987786,1 h 23 min,
Screen-free Meals/Breaks,Connect,1.74378E+12,Fri Apr 04 18:30:00 GMT+02:00 2025,1.74379E+12,Fri Apr 04 21:13:12 GMT+01:00 2025,9760008,2 h 42 min,
Job Search,Emotional Avoidance,1.74379E+12,Fri Apr 04 18:44:00 GMT+02:00 2025,1.74379E+12,Fri Apr 04 18:51:14 GMT+01:00 2025,402457,6 min,
Social,Screen Relaxation,1.74379E+12,Fri Apr 04 19:10:00 GMT+02:00 2025,1.74379E+12,Fri Apr 04 19:11:32 GMT+01:00 2025,60000,1 min,
Life Architecture,Relax & Wonder,1.7438E+12,Fri Apr 04 22:34:00 GMT+02:00 2025,1.74381E+12,Sat Apr 05 00:18:10 GMT+01:00 2025,6217964,1 h 43 min,
Process Emotions,Work,1.7438E+12,Fri Apr 04 23:04:00 GMT+02:00 2025,1.7438E+12,Fri Apr 04 23:05:32 GMT+01:00 2025,60000,1 min,
Hobbies,Connect,1.7438E+12,Fri Apr 04 23:18:00 GMT+02:00 2025,1.7438E+12,Fri Apr 04 23:35:48 GMT+01:00 2025,1036394,17 min,
Needed Tech Config,Relax & Wonder,1.7438E+12,Fri Apr 04 23:23:00 GMT+02:00 2025,1.7438E+12,Fri Apr 04 23:53:06 GMT+01:00 2025,1774700,29 min,
Guilt free Media,Emotional Work,1.7438E+12,Fri Apr 04 23:28:00 GMT+02:00 2025,1.7438E+12,Sat Apr 05 00:11:03 GMT+01:00 2025,2552093,42 min,
Work Architecture ,Responsibilities ,1.7438E+12,Fri Apr 04 23:56:00 GMT+02:00 2025,1.74381E+12,Sat Apr 05 01:31:21 GMT+01:00 2025,5689993,1 h 34 min,
Sleep,Sleep,1.74381E+12,Sat Apr 05 01:28:00 GMT+02:00 2025,1.74384E+12,Sat Apr 05 09:20:00 GMT+02:00 2025,28320000,7 h 52 min,
Social Dating Chances,Emotional Avoidance,1.74384E+12,Sat Apr 05 09:20:00 GMT+02:00 2025,1.74384E+12,Sat Apr 05 09:21:31 GMT+01:00 2025,60000,1 min,
Snooze,Active,1.74384E+12,Sat Apr 05 09:57:00 GMT+02:00 2025,1.74384E+12,Sat Apr 05 10:25:59 GMT+01:00 2025,1708084,28 min,
Friends & Family,Active,1.74384E+12,Sat Apr 05 11:00:00 GMT+02:00 2025,1.74385E+12,Sat Apr 05 11:46:52 GMT+01:00 2025,2781039,46 min,
Cooking,Work,1.74385E+12,Sat Apr 05 12:28:00 GMT+02:00 2025,1.74385E+12,Sat Apr 05 13:26:03 GMT+01:00 2025,3458693,57 min,
Work Distractions,Emotional Work,1.74385E+12,Sat Apr 05 13:16:00 GMT+02:00 2025,1.74386E+12,Sat Apr 05 14:10:28 GMT+01:00 2025,3244602,54 min,
Nature,Screen Relaxation,1.74385E+12,Sat Apr 05 13:31:00 GMT+02:00 2025,1.74386E+12,Sat Apr 05 14:48:47 GMT+01:00 2025,4643091,1 h 17 min,
AWS AI,Emotional Avoidance,1.74387E+12,Sat Apr 05 18:28:00 GMT+02:00 2025,1.74388E+12,Sat Apr 05 20:14:25 GMT+01:00 2025,6329629,1 h 45 min,
Play music,Emotional Work,1.74387E+12,Sat Apr 05 18:46:00 GMT+02:00 2025,1.74388E+12,Sat Apr 05 20:01:19 GMT+01:00 2025,4463734,1 h 14 min,
Process Emotions,Emotional Avoidance,1.74387E+12,Sat Apr 05 19:10:00 GMT+02:00 2025,1.74388E+12,Sat Apr 05 20:29:32 GMT+01:00 2025,4715790,1 h 18 min,
Work Architecture ,Work,1.7439E+12,Sun Apr 06 03:16:00 GMT+02:00 2025,1.7439E+12,Sun Apr 06 03:17:49 GMT+01:00 2025,60000,1 min,
Tech Config,Work,1.7439E+12,Sun Apr 06 03:22:00 GMT+02:00 2025,1.74391E+12,Sun Apr 06 04:13:03 GMT+01:00 2025,3047762,50 min,
Sleep,Sleep,1.7439E+12,Sun Apr 06 03:32:00 GMT+02:00 2025,1.74393E+12,Sun Apr 06 10:28:00 GMT+02:00 2025,24960000,6 h 56 min,
Sailing,Screen Relaxation,1.74393E+12,Sun Apr 06 10:28:00 GMT+02:00 2025,1.74393E+12,Sun Apr 06 11:48:48 GMT+01:00 2025,4822987,1 h 20 min,
Distracting Media,Active,1.74393E+12,Sun Apr 06 11:36:00 GMT+02:00 2025,1.74394E+12,Sun Apr 06 13:13:59 GMT+01:00 2025,5854484,1 h 37 min,
Hygiene & Styling,Emotional Work,1.74393E+12,Sun Apr 06 11:55:00 GMT+02:00 2025,1.74393E+12,Sun Apr 06 11:56:22 GMT+01:00 2025,60000,1 min,
Sleep,Sleep,1.74393E+12,Sun Apr 06 12:14:00 GMT+02:00 2025,1.74394E+12,Sun Apr 06 13:30:00 GMT+02:00 2025,4560000,1 h 16 min,
Finance & Paperwork,Connect,1.74394E+12,Sun Apr 06 13:30:00 GMT+02:00 2025,1.74394E+12,Sun Apr 06 13:32:17 GMT+01:00 2025,114690,1 min,
Play music,Active,1.74394E+12,Sun Apr 06 13:55:00 GMT+02:00 2025,1.74394E+12,Sun Apr 06 14:03:08 GMT+01:00 2025,465941,7 min,
Screen-free Meals/Breaks,Emotional Work,1.74394E+12,Sun Apr 06 14:09:00 GMT+02:00 2025,1.74395E+12,Sun Apr 06 15:34:13 GMT+01:00 2025,5058315,1 h 24 min,
Positive Reframing,Active,1.74396E+12,Sun Apr 06 18:29:00 GMT+02:00 2025,1.74396E+12,Sun Apr 06 20:28:30 GMT+01:00 2025,7115519,1 h 58 min,
Public Speaking,Connect,1.74396E+12,Sun Apr 06 19:00:00 GMT+02:00 2025,1.74396E+12,Sun Apr 06 19:20:10 GMT+01:00 2025,1155060,19 min,
Snooze,Responsibilities ,1.74396E+12,Sun Apr 06 19:16:00 GMT+02:00 2025,1.74397E+12,Sun Apr 06 21:06:50 GMT+01:00 2025,6594800,1 h 49 min,
Finance & Paperwork,Responsibilities ,1.74396E+12,Sun Apr 06 19:56:00 GMT+02:00 2025,1.74397E+12,Sun Apr 06 20:52:31 GMT+01:00 2025,3350685,55 min,
Finance & Paperwork,Screen Relaxation,1.74396E+12,Sun Apr 06 20:23:00 GMT+02:00 2025,1.74397E+12,Sun Apr 06 21:02:26 GMT+01:00 2025,2326086,38 min,
Needed Tech Config,Responsibilities ,1.74397E+12,Sun Apr 06 22:00:00 GMT+02:00 2025,1.74397E+12,Sun Apr 06 22:33:26 GMT+01:00 2025,1965903,32 min,
Process Emotions,Responsibilities ,1.74397E+12,Sun Apr 06 22:50:00 GMT+02:00 2025,1.74398E+12,Mon Apr 07 00:29:28 GMT+01:00 2025,5927556,1 h 38 min,
Hygiene & Styling,Relax & Wonder,1.74397E+12,Sun Apr 06 23:05:00 GMT+02:00 2025,1.74398E+12,Mon Apr 07 00:15:27 GMT+01:00 2025,4186432,1 h 9 min,
Public Speaking,Emotional Avoidance,1.74397E+12,Sun Apr 06 23:24:00 GMT+02:00 2025,1.74399E+12,Mon Apr 07 02:48:12 GMT+01:00 2025,12251401,3 h 24 min,
Hobbies,Relax & Wonder,1.74398E+12,Mon Apr 07 01:19:00 GMT+02:00 2025,1.74398E+12,Mon Apr 07 01:20:01 GMT+01:00 2025,60000,1 min,
